
VVCSoftware: VTM Encoder Version 17.0 [Windows][VS 1929][64 bit] [SIMD=AVX2] 

TOOL CFG: IBD:0 HAD:1 RDQ:1 RDQTS:1 RDpenalty:0 LQP:0 SQP:0 ASR:0 MinSearchWindow:8 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPSConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:1 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:0 SbTMVP:1 DualITree:1 IMV:1 BIO:0 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:0 CompositeLTReference:0 Bcw:0 BcwFast:0 LADF:0 CIIP:0 Geo:0 AllowDisFracMMVD:1 AffineAmvr:0 AffineAmvrEncOpt:0 AffineAmvp:1 DMVR:0 MmvdDisNum:8 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:2) MRL:1 MIP:1 EncDbOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 4(intra) 4(inter) ISPFast:1 FastLFNST:1 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 FastMIP:1 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:0 RPR:0 TemporalFilter:4/4 SEI CTI:0 BIM:0 


 started @ Mon Sep 11 22:53:16 2023
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 32 )      70336 bits [Y 36.9736 dB    U 42.5630 dB    V 47.2694 dB] [ET    38 ] [L0] [L1]
POC   33 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      70064 bits [Y 36.9718 dB    U 42.6034 dB    V 47.4920 dB] [ET    38 ] [L0] [L1]
POC   34 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      70216 bits [Y 36.9974 dB    U 42.7418 dB    V 47.6162 dB] [ET    39 ] [L0] [L1]
POC   35 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      70064 bits [Y 36.9651 dB    U 42.7269 dB    V 47.3648 dB] [ET    38 ] [L0] [L1]
POC   36 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69912 bits [Y 36.9756 dB    U 42.6349 dB    V 47.3001 dB] [ET    38 ] [L0] [L1]
POC   37 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69696 bits [Y 36.9593 dB    U 42.7565 dB    V 47.4530 dB] [ET    38 ] [L0] [L1]
POC   38 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69320 bits [Y 36.9496 dB    U 42.5553 dB    V 47.2256 dB] [ET    38 ] [L0] [L1]
POC   39 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      68984 bits [Y 36.9560 dB    U 42.5988 dB    V 47.4286 dB] [ET    39 ] [L0] [L1]
POC   40 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69856 bits [Y 36.9794 dB    U 42.5977 dB    V 47.2424 dB] [ET    38 ] [L0] [L1]
POC   41 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      70032 bits [Y 36.9896 dB    U 42.6645 dB    V 47.3008 dB] [ET    39 ] [L0] [L1]
POC   42 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69672 bits [Y 36.9935 dB    U 42.7606 dB    V 47.4775 dB] [ET    37 ] [L0] [L1]
POC   43 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69856 bits [Y 36.9780 dB    U 42.7510 dB    V 47.3906 dB] [ET    39 ] [L0] [L1]
POC   44 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      70160 bits [Y 36.9757 dB    U 42.6243 dB    V 47.2457 dB] [ET    37 ] [L0] [L1]
POC   45 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69776 bits [Y 36.9807 dB    U 42.6377 dB    V 47.1268 dB] [ET    39 ] [L0] [L1]
POC   46 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69632 bits [Y 36.9433 dB    U 42.6331 dB    V 47.1525 dB] [ET    39 ] [L0] [L1]
POC   47 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69304 bits [Y 36.9412 dB    U 42.5607 dB    V 47.6190 dB] [ET    38 ] [L0] [L1]
POC   48 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69976 bits [Y 37.0074 dB    U 42.5554 dB    V 47.3110 dB] [ET    38 ] [L0] [L1]
POC   49 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      70024 bits [Y 36.9968 dB    U 42.6792 dB    V 47.3860 dB] [ET    38 ] [L0] [L1]
POC   50 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      70224 bits [Y 37.0191 dB    U 42.6148 dB    V 47.6048 dB] [ET    38 ] [L0] [L1]
POC   51 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69656 bits [Y 36.9746 dB    U 42.7241 dB    V 47.4675 dB] [ET    38 ] [L0] [L1]
POC   52 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      70048 bits [Y 36.9964 dB    U 42.5551 dB    V 47.5518 dB] [ET    39 ] [L0] [L1]
POC   53 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      70208 bits [Y 37.0013 dB    U 42.6564 dB    V 47.2660 dB] [ET    38 ] [L0] [L1]
POC   54 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69616 bits [Y 36.9783 dB    U 42.5942 dB    V 46.9028 dB] [ET    38 ] [L0] [L1]
POC   55 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69320 bits [Y 36.9774 dB    U 42.5019 dB    V 47.3193 dB] [ET    38 ] [L0] [L1]
POC   56 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69552 bits [Y 36.9939 dB    U 42.5634 dB    V 47.4412 dB] [ET    38 ] [L0] [L1]
POC   57 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69848 bits [Y 37.0133 dB    U 42.4711 dB    V 47.4540 dB] [ET    37 ] [L0] [L1]
POC   58 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69552 bits [Y 36.9832 dB    U 42.5900 dB    V 47.3710 dB] [ET    38 ] [L0] [L1]
POC   59 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69720 bits [Y 37.0079 dB    U 42.5628 dB    V 47.4220 dB] [ET    39 ] [L0] [L1]
POC   60 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69136 bits [Y 36.9600 dB    U 42.5539 dB    V 47.4434 dB] [ET    37 ] [L0] [L1]
POC   61 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69864 bits [Y 36.9798 dB    U 42.7072 dB    V 47.4478 dB] [ET    39 ] [L0] [L1]
POC   62 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69632 bits [Y 36.9735 dB    U 42.7878 dB    V 47.4317 dB] [ET    38 ] [L0] [L1]
POC   63 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69640 bits [Y 36.9736 dB    U 42.8410 dB    V 47.4362 dB] [ET    39 ] [L0] [L1]
POC   64 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69528 bits [Y 36.9562 dB    U 42.5631 dB    V 47.5532 dB] [ET    39 ] [L0] [L1]
POC   65 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69680 bits [Y 36.9699 dB    U 42.5109 dB    V 47.2588 dB] [ET    38 ] [L0] [L1]
POC   66 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69128 bits [Y 36.9540 dB    U 42.5257 dB    V 47.1512 dB] [ET    38 ] [L0] [L1]
POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69592 bits [Y 36.9830 dB    U 42.5544 dB    V 47.5464 dB] [ET    38 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      70112 bits [Y 37.0129 dB    U 42.6455 dB    V 47.2449 dB] [ET    37 ] [L0] [L1]
POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      70208 bits [Y 37.0295 dB    U 42.5386 dB    V 47.3558 dB] [ET    39 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69920 bits [Y 37.0022 dB    U 42.7608 dB    V 47.6124 dB] [ET    38 ] [L0] [L1]
POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69992 bits [Y 36.9782 dB    U 42.6776 dB    V 47.4851 dB] [ET    39 ] [L0] [L1]
POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69432 bits [Y 37.0078 dB    U 42.6947 dB    V 47.1679 dB] [ET    37 ] [L0] [L1]
POC   73 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69224 bits [Y 36.9693 dB    U 42.5592 dB    V 47.0402 dB] [ET    38 ] [L0] [L1]
POC   74 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69432 bits [Y 37.0070 dB    U 42.6106 dB    V 47.2803 dB] [ET    39 ] [L0] [L1]
POC   75 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      68896 bits [Y 36.9540 dB    U 42.7711 dB    V 47.5771 dB] [ET    38 ] [L0] [L1]
POC   76 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69440 bits [Y 37.0026 dB    U 42.6207 dB    V 47.3222 dB] [ET    39 ] [L0] [L1]
POC   77 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69096 bits [Y 36.9698 dB    U 42.5857 dB    V 47.4757 dB] [ET    39 ] [L0] [L1]
POC   78 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69112 bits [Y 36.9884 dB    U 42.6954 dB    V 47.2471 dB] [ET    37 ] [L0] [L1]
POC   79 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      68896 bits [Y 36.9637 dB    U 42.6444 dB    V 47.4375 dB] [ET    38 ] [L0] [L1]
POC   80 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      68760 bits [Y 36.9303 dB    U 42.5991 dB    V 47.5261 dB] [ET    38 ] [L0] [L1]

LayerId  0
	Total Frames |  Bitrate      Y-PSNR   U-PSNR   V-PSNR   YUV-PSNR 
	81           a  4187.3837    36.9729  42.6161  47.3893  38.3559  

 finished @ Mon Sep 11 23:45:37 2023
 Total Time:     3141.123 sec. [user]     3141.124 sec. [elapsed]
