
VVCSoftware: VTM Encoder Version 17.0 [Windows][VS 1929][64 bit] [SIMD=AVX2] 

TOOL CFG: IBD:0 HAD:1 RDQ:1 RDQTS:1 RDpenalty:0 LQP:0 SQP:0 ASR:0 MinSearchWindow:8 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPSConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:1 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:0 SbTMVP:1 DualITree:1 IMV:1 BIO:0 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:0 CompositeLTReference:0 Bcw:0 BcwFast:0 LADF:0 CIIP:0 Geo:0 AllowDisFracMMVD:1 AffineAmvr:0 AffineAmvrEncOpt:0 AffineAmvp:1 DMVR:0 MmvdDisNum:8 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:2) MRL:1 MIP:1 EncDbOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 4(intra) 4(inter) ISPFast:1 FastLFNST:1 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 FastMIP:1 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:0 RPR:0 TemporalFilter:4/4 SEI CTI:0 BIM:0 


 started @ Wed Sep  6 15:49:35 2023
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 27 )     126984 bits [Y 40.0878 dB    U 41.1195 dB    V 42.2499 dB] [ET    58 ] [L0] [L1]
POC   13 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126376 bits [Y 40.0748 dB    U 41.0855 dB    V 42.3110 dB] [ET    57 ] [L0] [L1]
POC   14 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126976 bits [Y 40.1030 dB    U 41.0186 dB    V 42.2115 dB] [ET    57 ] [L0] [L1]
POC   15 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     125632 bits [Y 40.0735 dB    U 40.9575 dB    V 42.2327 dB] [ET    57 ] [L0] [L1]
POC   16 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     124952 bits [Y 40.0269 dB    U 41.0140 dB    V 42.2290 dB] [ET    56 ] [L0] [L1]
POC   17 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     124816 bits [Y 40.0438 dB    U 41.0149 dB    V 42.1731 dB] [ET    57 ] [L0] [L1]
POC   18 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126464 bits [Y 40.0835 dB    U 41.0054 dB    V 42.2133 dB] [ET    59 ] [L0] [L1]
POC   19 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126176 bits [Y 40.0578 dB    U 41.1121 dB    V 42.2508 dB] [ET    58 ] [L0] [L1]
POC   20 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126560 bits [Y 40.0857 dB    U 41.0528 dB    V 42.1641 dB] [ET    58 ] [L0] [L1]
POC   21 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126216 bits [Y 40.0713 dB    U 41.0906 dB    V 42.2362 dB] [ET    59 ] [L0] [L1]
POC   22 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126936 bits [Y 40.1128 dB    U 40.9084 dB    V 42.2741 dB] [ET    57 ] [L0] [L1]
POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     127112 bits [Y 40.0939 dB    U 41.0872 dB    V 42.3209 dB] [ET    58 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126112 bits [Y 40.0766 dB    U 41.0737 dB    V 42.2191 dB] [ET    59 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     125520 bits [Y 40.0396 dB    U 41.0597 dB    V 42.3446 dB] [ET    57 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126104 bits [Y 40.0797 dB    U 41.0516 dB    V 42.2342 dB] [ET    57 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     125400 bits [Y 40.0505 dB    U 41.1168 dB    V 42.1968 dB] [ET    60 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     125136 bits [Y 40.0313 dB    U 41.0450 dB    V 42.2163 dB] [ET    59 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     125624 bits [Y 40.0490 dB    U 41.0055 dB    V 42.2073 dB] [ET    59 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     127096 bits [Y 40.0925 dB    U 41.1516 dB    V 42.3263 dB] [ET    59 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126128 bits [Y 40.0593 dB    U 41.1077 dB    V 42.2030 dB] [ET    58 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126224 bits [Y 40.0799 dB    U 41.0321 dB    V 42.2429 dB] [ET    59 ] [L0] [L1]
POC   33 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     125744 bits [Y 40.0705 dB    U 41.0513 dB    V 42.1755 dB] [ET    59 ] [L0] [L1]
POC   34 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     125792 bits [Y 40.0957 dB    U 41.0396 dB    V 42.1435 dB] [ET    57 ] [L0] [L1]
POC   35 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     125992 bits [Y 40.1035 dB    U 40.9842 dB    V 42.2226 dB] [ET    60 ] [L0] [L1]
POC   36 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     125904 bits [Y 40.0582 dB    U 41.0182 dB    V 42.1584 dB] [ET    58 ] [L0] [L1]
POC   37 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     125768 bits [Y 40.0404 dB    U 41.0202 dB    V 42.0702 dB] [ET    60 ] [L0] [L1]
POC   38 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126112 bits [Y 40.0530 dB    U 41.0733 dB    V 42.1888 dB] [ET    58 ] [L0] [L1]
POC   39 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126568 bits [Y 40.0817 dB    U 41.0471 dB    V 42.1490 dB] [ET    59 ] [L0] [L1]
POC   40 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     125872 bits [Y 40.0559 dB    U 40.9720 dB    V 42.1636 dB] [ET    58 ] [L0] [L1]
POC   41 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126024 bits [Y 40.0584 dB    U 41.0036 dB    V 42.2459 dB] [ET    59 ] [L0] [L1]
POC   42 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     125752 bits [Y 40.0600 dB    U 40.9859 dB    V 42.2134 dB] [ET    59 ] [L0] [L1]
POC   43 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     125992 bits [Y 40.0709 dB    U 41.0544 dB    V 42.2667 dB] [ET    60 ] [L0] [L1]
POC   44 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     124768 bits [Y 40.0302 dB    U 41.0807 dB    V 42.2794 dB] [ET    58 ] [L0] [L1]
POC   45 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126360 bits [Y 40.0818 dB    U 41.0493 dB    V 42.2402 dB] [ET    59 ] [L0] [L1]
POC   46 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126168 bits [Y 40.0603 dB    U 41.0444 dB    V 42.2884 dB] [ET    60 ] [L0] [L1]
POC   47 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126328 bits [Y 40.0635 dB    U 41.0694 dB    V 42.3467 dB] [ET    58 ] [L0] [L1]
POC   48 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126544 bits [Y 40.0684 dB    U 41.0630 dB    V 42.2461 dB] [ET    59 ] [L0] [L1]
POC   49 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126328 bits [Y 40.1069 dB    U 40.9275 dB    V 42.1819 dB] [ET    59 ] [L0] [L1]
POC   50 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126432 bits [Y 40.0901 dB    U 41.0095 dB    V 42.3249 dB] [ET    60 ] [L0] [L1]
POC   51 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     125416 bits [Y 40.0485 dB    U 40.8866 dB    V 42.2849 dB] [ET    59 ] [L0] [L1]
POC   52 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     125752 bits [Y 40.0769 dB    U 41.0940 dB    V 42.3245 dB] [ET    60 ] [L0] [L1]
POC   53 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     125520 bits [Y 40.0795 dB    U 40.9972 dB    V 42.2043 dB] [ET    60 ] [L0] [L1]
POC   54 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126400 bits [Y 40.0896 dB    U 41.1138 dB    V 42.2628 dB] [ET    59 ] [L0] [L1]
POC   55 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126440 bits [Y 40.0768 dB    U 41.0224 dB    V 42.3149 dB] [ET    59 ] [L0] [L1]
POC   56 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     125872 bits [Y 40.0650 dB    U 40.9906 dB    V 42.2721 dB] [ET    60 ] [L0] [L1]
POC   57 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126040 bits [Y 40.0573 dB    U 41.0773 dB    V 42.2520 dB] [ET    58 ] [L0] [L1]
POC   58 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126928 bits [Y 40.0936 dB    U 41.0463 dB    V 42.2347 dB] [ET    60 ] [L0] [L1]
POC   59 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     127224 bits [Y 40.1064 dB    U 41.0801 dB    V 42.2803 dB] [ET    60 ] [L0] [L1]
POC   60 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126400 bits [Y 40.0788 dB    U 41.0064 dB    V 42.3529 dB] [ET    58 ] [L0] [L1]
POC   61 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     125616 bits [Y 40.0911 dB    U 41.0392 dB    V 42.2039 dB] [ET    59 ] [L0] [L1]
POC   62 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126056 bits [Y 40.1006 dB    U 41.0228 dB    V 42.3151 dB] [ET    57 ] [L0] [L1]
POC   63 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     125896 bits [Y 40.0782 dB    U 40.9827 dB    V 42.1685 dB] [ET    59 ] [L0] [L1]
POC   64 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     125640 bits [Y 40.0292 dB    U 41.0144 dB    V 42.2250 dB] [ET    58 ] [L0] [L1]
POC   65 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126472 bits [Y 40.0378 dB    U 41.0097 dB    V 42.3652 dB] [ET    57 ] [L0] [L1]
POC   66 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126064 bits [Y 40.0653 dB    U 41.0186 dB    V 42.2225 dB] [ET    57 ] [L0] [L1]
POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126888 bits [Y 40.0909 dB    U 41.0489 dB    V 42.2855 dB] [ET    57 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126264 bits [Y 40.1106 dB    U 40.9288 dB    V 42.2203 dB] [ET    58 ] [L0] [L1]
POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     125384 bits [Y 40.0458 dB    U 41.0715 dB    V 42.2766 dB] [ET    56 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     125872 bits [Y 40.0830 dB    U 41.0506 dB    V 42.2939 dB] [ET    57 ] [L0] [L1]
POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     125328 bits [Y 40.0783 dB    U 40.9856 dB    V 42.2592 dB] [ET    57 ] [L0] [L1]
POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     125792 bits [Y 40.0467 dB    U 40.9452 dB    V 42.2638 dB] [ET    58 ] [L0] [L1]
POC   73 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126520 bits [Y 40.0860 dB    U 40.9962 dB    V 42.2166 dB] [ET    58 ] [L0] [L1]
POC   74 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126512 bits [Y 40.0844 dB    U 41.1170 dB    V 42.2659 dB] [ET    58 ] [L0] [L1]
POC   75 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126856 bits [Y 40.0832 dB    U 41.0703 dB    V 42.2783 dB] [ET    58 ] [L0] [L1]
POC   76 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126144 bits [Y 40.0770 dB    U 41.0845 dB    V 42.2474 dB] [ET    59 ] [L0] [L1]
POC   77 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     126264 bits [Y 40.0795 dB    U 41.0307 dB    V 42.3892 dB] [ET    57 ] [L0] [L1]
POC   78 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     125656 bits [Y 40.0732 dB    U 41.0013 dB    V 42.3123 dB] [ET    67 ] [L0] [L1]
POC   79 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     125424 bits [Y 40.0460 dB    U 41.0524 dB    V 42.2642 dB] [ET    56 ] [L0] [L1]
POC   80 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     125264 bits [Y 40.0574 dB    U 41.0172 dB    V 42.2750 dB] [ET    57 ] [L0] [L1]

LayerId  0
	Total Frames |  Bitrate      Y-PSNR   U-PSNR   V-PSNR   YUV-PSNR 
	81           a  7566.0563    40.0721  41.0360  42.2434  40.5235  

 finished @ Wed Sep  6 17:08:59 2023
 Total Time:     4763.605 sec. [user]     4763.605 sec. [elapsed]
