
VVCSoftware: VTM Encoder Version 17.0 [Windows][VS 1929][64 bit] [SIMD=AVX2] 

TOOL CFG: IBD:0 HAD:1 RDQ:1 RDQTS:1 RDpenalty:0 LQP:0 SQP:0 ASR:0 MinSearchWindow:8 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPSConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:1 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:0 SbTMVP:1 DualITree:1 IMV:1 BIO:0 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:0 CompositeLTReference:0 Bcw:0 BcwFast:0 LADF:0 CIIP:0 Geo:0 AllowDisFracMMVD:1 AffineAmvr:0 AffineAmvrEncOpt:0 AffineAmvp:1 DMVR:0 MmvdDisNum:8 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:2) MRL:1 MIP:1 EncDbOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 4(intra) 4(inter) ISPFast:1 FastLFNST:1 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 FastMIP:1 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:0 RPR:0 TemporalFilter:4/4 SEI CTI:0 BIM:0 


 started @ Mon Sep 11 23:45:37 2023
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 37 )      35728 bits [Y 33.8898 dB    U 41.4268 dB    V 46.5429 dB] [ET    22 ] [L0] [L1]
POC   16 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35096 bits [Y 33.8421 dB    U 41.5384 dB    V 46.4768 dB] [ET    22 ] [L0] [L1]
POC   17 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35264 bits [Y 33.8362 dB    U 41.4414 dB    V 46.5219 dB] [ET    22 ] [L0] [L1]
POC   18 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35904 bits [Y 33.8649 dB    U 41.4437 dB    V 46.3234 dB] [ET    22 ] [L0] [L1]
POC   19 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35352 bits [Y 33.8039 dB    U 41.2594 dB    V 46.5913 dB] [ET    22 ] [L0] [L1]
POC   20 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35224 bits [Y 33.7923 dB    U 41.2672 dB    V 46.5106 dB] [ET    22 ] [L0] [L1]
POC   21 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35376 bits [Y 33.8295 dB    U 41.3259 dB    V 46.3867 dB] [ET    22 ] [L0] [L1]
POC   22 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35352 bits [Y 33.8242 dB    U 41.4848 dB    V 46.4493 dB] [ET    21 ] [L0] [L1]
POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35536 bits [Y 33.8593 dB    U 41.4539 dB    V 46.6661 dB] [ET    22 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35104 bits [Y 33.8317 dB    U 41.3377 dB    V 46.5277 dB] [ET    21 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      34888 bits [Y 33.7802 dB    U 41.3983 dB    V 46.6999 dB] [ET    22 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35504 bits [Y 33.8144 dB    U 41.4746 dB    V 46.5769 dB] [ET    22 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35560 bits [Y 33.8423 dB    U 41.2798 dB    V 46.2794 dB] [ET    21 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35824 bits [Y 33.8783 dB    U 41.5061 dB    V 46.4248 dB] [ET    21 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35560 bits [Y 33.8513 dB    U 41.4302 dB    V 46.5071 dB] [ET    22 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35552 bits [Y 33.8674 dB    U 41.4642 dB    V 46.6354 dB] [ET    21 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35672 bits [Y 33.8610 dB    U 41.3929 dB    V 46.6555 dB] [ET    21 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35736 bits [Y 33.8873 dB    U 41.3196 dB    V 46.5433 dB] [ET    22 ] [L0] [L1]
POC   33 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35048 bits [Y 33.8420 dB    U 41.2187 dB    V 46.5843 dB] [ET    21 ] [L0] [L1]
POC   34 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35168 bits [Y 33.8622 dB    U 41.5404 dB    V 46.8304 dB] [ET    22 ] [L0] [L1]
POC   35 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35440 bits [Y 33.8537 dB    U 41.5412 dB    V 46.8606 dB] [ET    22 ] [L0] [L1]
POC   36 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35648 bits [Y 33.8499 dB    U 41.3106 dB    V 46.5654 dB] [ET    21 ] [L0] [L1]
POC   37 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35456 bits [Y 33.8342 dB    U 41.3322 dB    V 46.3496 dB] [ET    21 ] [L0] [L1]
POC   38 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35376 bits [Y 33.8415 dB    U 41.3198 dB    V 46.6692 dB] [ET    22 ] [L0] [L1]
POC   39 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35352 bits [Y 33.8590 dB    U 41.5478 dB    V 46.6607 dB] [ET    21 ] [L0] [L1]
POC   40 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35760 bits [Y 33.9038 dB    U 41.5916 dB    V 46.7025 dB] [ET    22 ] [L0] [L1]
POC   41 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35504 bits [Y 33.8732 dB    U 41.3964 dB    V 46.4046 dB] [ET    21 ] [L0] [L1]
POC   42 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35424 bits [Y 33.8762 dB    U 41.4737 dB    V 46.3599 dB] [ET    22 ] [L0] [L1]
POC   43 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35224 bits [Y 33.8629 dB    U 41.4740 dB    V 46.6426 dB] [ET    22 ] [L0] [L1]
POC   44 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35608 bits [Y 33.8705 dB    U 41.5948 dB    V 46.5852 dB] [ET    21 ] [L0] [L1]
POC   45 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35512 bits [Y 33.8894 dB    U 41.2217 dB    V 46.4347 dB] [ET    21 ] [L0] [L1]
POC   46 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35368 bits [Y 33.8530 dB    U 41.4185 dB    V 46.4616 dB] [ET    22 ] [L0] [L1]
POC   47 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35552 bits [Y 33.9131 dB    U 41.3344 dB    V 46.5302 dB] [ET    22 ] [L0] [L1]
POC   48 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35144 bits [Y 33.8744 dB    U 41.4782 dB    V 46.5440 dB] [ET    22 ] [L0] [L1]
POC   49 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35248 bits [Y 33.8581 dB    U 41.3453 dB    V 46.4639 dB] [ET    22 ] [L0] [L1]
POC   50 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35440 bits [Y 33.8535 dB    U 41.4560 dB    V 46.3377 dB] [ET    22 ] [L0] [L1]
POC   51 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35344 bits [Y 33.8887 dB    U 41.5625 dB    V 46.6479 dB] [ET    22 ] [L0] [L1]
POC   52 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35240 bits [Y 33.9012 dB    U 41.3510 dB    V 46.5982 dB] [ET    21 ] [L0] [L1]
POC   53 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35336 bits [Y 33.8829 dB    U 41.2323 dB    V 46.4841 dB] [ET    22 ] [L0] [L1]
POC   54 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35296 bits [Y 33.8180 dB    U 41.4630 dB    V 46.4568 dB] [ET    21 ] [L0] [L1]
POC   55 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35344 bits [Y 33.8508 dB    U 41.3826 dB    V 46.3952 dB] [ET    21 ] [L0] [L1]
POC   56 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35720 bits [Y 33.8918 dB    U 41.5183 dB    V 46.6433 dB] [ET    22 ] [L0] [L1]
POC   57 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35392 bits [Y 33.8733 dB    U 41.3358 dB    V 46.4150 dB] [ET    21 ] [L0] [L1]
POC   58 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35352 bits [Y 33.8720 dB    U 41.2261 dB    V 46.5200 dB] [ET    21 ] [L0] [L1]
POC   59 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35432 bits [Y 33.8791 dB    U 41.4679 dB    V 46.6771 dB] [ET    21 ] [L0] [L1]
POC   60 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35136 bits [Y 33.8632 dB    U 41.2827 dB    V 46.6321 dB] [ET    22 ] [L0] [L1]
POC   61 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35416 bits [Y 33.9007 dB    U 41.4734 dB    V 46.8049 dB] [ET    21 ] [L0] [L1]
POC   62 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35312 bits [Y 33.8487 dB    U 41.6611 dB    V 46.5796 dB] [ET    21 ] [L0] [L1]
POC   63 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35312 bits [Y 33.8772 dB    U 41.3302 dB    V 46.7785 dB] [ET    21 ] [L0] [L1]
POC   64 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35560 bits [Y 33.8662 dB    U 41.5771 dB    V 46.4138 dB] [ET    22 ] [L0] [L1]
POC   65 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35624 bits [Y 33.8979 dB    U 41.3177 dB    V 46.2592 dB] [ET    22 ] [L0] [L1]
POC   66 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35400 bits [Y 33.8879 dB    U 41.3771 dB    V 46.4122 dB] [ET    22 ] [L0] [L1]
POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      34968 bits [Y 33.8617 dB    U 41.4368 dB    V 46.3758 dB] [ET    21 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35264 bits [Y 33.8560 dB    U 41.4406 dB    V 46.5280 dB] [ET    21 ] [L0] [L1]
POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35800 bits [Y 33.9009 dB    U 41.5379 dB    V 46.8335 dB] [ET    21 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35424 bits [Y 33.8840 dB    U 41.5791 dB    V 46.2082 dB] [ET    21 ] [L0] [L1]
POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35048 bits [Y 33.8326 dB    U 41.5173 dB    V 46.5388 dB] [ET    21 ] [L0] [L1]
POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35592 bits [Y 33.9297 dB    U 41.3951 dB    V 46.7353 dB] [ET    21 ] [L0] [L1]
POC   73 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35680 bits [Y 33.9074 dB    U 41.2849 dB    V 46.5528 dB] [ET    22 ] [L0] [L1]
POC   74 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35488 bits [Y 33.8898 dB    U 41.4015 dB    V 46.3985 dB] [ET    22 ] [L0] [L1]
POC   75 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35408 bits [Y 33.8831 dB    U 41.5123 dB    V 46.3761 dB] [ET    22 ] [L0] [L1]
POC   76 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35544 bits [Y 33.9303 dB    U 41.4060 dB    V 46.4675 dB] [ET    22 ] [L0] [L1]
POC   77 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35024 bits [Y 33.8768 dB    U 41.4844 dB    V 46.3508 dB] [ET    21 ] [L0] [L1]
POC   78 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35296 bits [Y 33.8916 dB    U 41.5335 dB    V 46.5241 dB] [ET    22 ] [L0] [L1]
POC   79 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35448 bits [Y 33.9155 dB    U 41.5515 dB    V 46.7363 dB] [ET    21 ] [L0] [L1]
POC   80 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      35064 bits [Y 33.8400 dB    U 41.4745 dB    V 46.7592 dB] [ET    21 ] [L0] [L1]

LayerId  0
	Total Frames |  Bitrate      Y-PSNR   U-PSNR   V-PSNR   YUV-PSNR 
	81           a  2124.0533    33.8619  41.4250  46.5393  35.3806  

 finished @ Tue Sep 12 00:15:21 2023
 Total Time:     1783.667 sec. [user]     1783.668 sec. [elapsed]
