
VVCSoftware: VTM Encoder Version 17.0 [Windows][VS 1929][64 bit] [SIMD=AVX2] 

TOOL CFG: IBD:0 HAD:1 RDQ:1 RDQTS:1 RDpenalty:0 LQP:0 SQP:0 ASR:0 MinSearchWindow:8 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPSConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:1 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:0 SbTMVP:1 DualITree:1 IMV:1 BIO:0 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:0 CompositeLTReference:0 Bcw:0 BcwFast:0 LADF:0 CIIP:0 Geo:0 AllowDisFracMMVD:1 AffineAmvr:0 AffineAmvrEncOpt:0 AffineAmvp:1 DMVR:0 MmvdDisNum:8 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:2) MRL:1 MIP:1 EncDbOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 4(intra) 4(inter) ISPFast:1 FastLFNST:1 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 FastMIP:1 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:0 RPR:0 TemporalFilter:4/4 SEI CTI:0 BIM:0 


 started @ Fri Sep  8 14:23:25 2023
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 32 )     117256 bits [Y 35.6579 dB    U 40.9117 dB    V 42.2017 dB] [ET    61 ] [L0] [L1]
POC   13 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117648 bits [Y 35.6934 dB    U 41.0131 dB    V 42.0480 dB] [ET    56 ] [L0] [L1]
POC   14 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117064 bits [Y 35.6663 dB    U 40.9440 dB    V 42.1508 dB] [ET    54 ] [L0] [L1]
POC   15 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117152 bits [Y 35.6683 dB    U 40.9163 dB    V 41.9895 dB] [ET    57 ] [L0] [L1]
POC   16 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117760 bits [Y 35.6876 dB    U 40.8210 dB    V 42.0548 dB] [ET    56 ] [L0] [L1]
POC   17 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     118024 bits [Y 35.7070 dB    U 40.9613 dB    V 42.1745 dB] [ET    55 ] [L0] [L1]
POC   18 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117704 bits [Y 35.6784 dB    U 40.8278 dB    V 42.0919 dB] [ET    58 ] [L0] [L1]
POC   19 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     118472 bits [Y 35.7318 dB    U 40.9552 dB    V 42.1247 dB] [ET    57 ] [L0] [L1]
POC   20 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117840 bits [Y 35.6886 dB    U 40.9695 dB    V 42.1612 dB] [ET    57 ] [L0] [L1]
POC   21 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117968 bits [Y 35.6944 dB    U 40.9077 dB    V 41.9175 dB] [ET    56 ] [L0] [L1]
POC   22 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117720 bits [Y 35.6927 dB    U 40.9988 dB    V 41.8834 dB] [ET    55 ] [L0] [L1]
POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117056 bits [Y 35.6594 dB    U 40.8690 dB    V 42.0242 dB] [ET    55 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117176 bits [Y 35.6660 dB    U 40.8298 dB    V 41.8382 dB] [ET    57 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117832 bits [Y 35.6813 dB    U 40.9062 dB    V 42.2563 dB] [ET    57 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     118032 bits [Y 35.6830 dB    U 40.9952 dB    V 41.9939 dB] [ET    57 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     118160 bits [Y 35.6867 dB    U 40.9679 dB    V 42.2208 dB] [ET    56 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     118496 bits [Y 35.7026 dB    U 40.8580 dB    V 42.0631 dB] [ET    57 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     118664 bits [Y 35.6955 dB    U 41.0289 dB    V 42.1130 dB] [ET    57 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117936 bits [Y 35.6895 dB    U 40.8649 dB    V 42.0939 dB] [ET    56 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117584 bits [Y 35.6666 dB    U 40.9096 dB    V 42.0940 dB] [ET    56 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117072 bits [Y 35.6346 dB    U 41.0575 dB    V 41.8656 dB] [ET    56 ] [L0] [L1]
POC   33 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     118328 bits [Y 35.6982 dB    U 40.9615 dB    V 42.0295 dB] [ET    57 ] [L0] [L1]
POC   34 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117584 bits [Y 35.6623 dB    U 40.8870 dB    V 42.0660 dB] [ET    57 ] [L0] [L1]
POC   35 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     118704 bits [Y 35.7003 dB    U 40.9310 dB    V 42.0665 dB] [ET    58 ] [L0] [L1]
POC   36 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     118112 bits [Y 35.6960 dB    U 40.8479 dB    V 42.0915 dB] [ET    57 ] [L0] [L1]
POC   37 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117872 bits [Y 35.6792 dB    U 40.9869 dB    V 42.0526 dB] [ET    56 ] [L0] [L1]
POC   38 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     118112 bits [Y 35.6697 dB    U 40.9961 dB    V 42.1368 dB] [ET    56 ] [L0] [L1]
POC   39 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     118344 bits [Y 35.6971 dB    U 40.9472 dB    V 42.0674 dB] [ET    54 ] [L0] [L1]
POC   40 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     118216 bits [Y 35.6818 dB    U 40.9614 dB    V 42.1240 dB] [ET    56 ] [L0] [L1]
POC   41 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     118792 bits [Y 35.7195 dB    U 40.8138 dB    V 41.9690 dB] [ET    56 ] [L0] [L1]
POC   42 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     118472 bits [Y 35.6856 dB    U 40.8400 dB    V 42.0097 dB] [ET    57 ] [L0] [L1]
POC   43 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     118584 bits [Y 35.6917 dB    U 40.9003 dB    V 41.8774 dB] [ET    58 ] [L0] [L1]
POC   44 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117904 bits [Y 35.6714 dB    U 40.9440 dB    V 42.1382 dB] [ET    58 ] [L0] [L1]
POC   45 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     118128 bits [Y 35.6936 dB    U 40.9790 dB    V 42.0524 dB] [ET    57 ] [L0] [L1]
POC   46 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117920 bits [Y 35.6769 dB    U 40.9099 dB    V 42.0377 dB] [ET    57 ] [L0] [L1]
POC   47 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     118640 bits [Y 35.6996 dB    U 40.9158 dB    V 42.0427 dB] [ET    56 ] [L0] [L1]
POC   48 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     118368 bits [Y 35.6801 dB    U 41.0845 dB    V 42.0022 dB] [ET    56 ] [L0] [L1]
POC   49 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117968 bits [Y 35.6813 dB    U 41.0114 dB    V 42.0744 dB] [ET    55 ] [L0] [L1]
POC   50 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     118280 bits [Y 35.7027 dB    U 40.8672 dB    V 41.9074 dB] [ET    56 ] [L0] [L1]
POC   51 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     118392 bits [Y 35.6820 dB    U 41.0041 dB    V 41.9243 dB] [ET    57 ] [L0] [L1]
POC   52 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117936 bits [Y 35.6787 dB    U 41.0631 dB    V 42.0441 dB] [ET    57 ] [L0] [L1]
POC   53 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     118672 bits [Y 35.7042 dB    U 41.1421 dB    V 42.1217 dB] [ET    58 ] [L0] [L1]
POC   54 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117608 bits [Y 35.6679 dB    U 40.8727 dB    V 42.1727 dB] [ET    57 ] [L0] [L1]
POC   55 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117624 bits [Y 35.6906 dB    U 40.9662 dB    V 42.0602 dB] [ET    56 ] [L0] [L1]
POC   56 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117976 bits [Y 35.7061 dB    U 40.9488 dB    V 42.0505 dB] [ET    56 ] [L0] [L1]
POC   57 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     118192 bits [Y 35.7227 dB    U 40.9207 dB    V 42.0050 dB] [ET    57 ] [L0] [L1]
POC   58 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     118168 bits [Y 35.7071 dB    U 40.8384 dB    V 42.0336 dB] [ET    56 ] [L0] [L1]
POC   59 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     118104 bits [Y 35.6888 dB    U 40.9153 dB    V 42.0559 dB] [ET    55 ] [L0] [L1]
POC   60 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117888 bits [Y 35.7056 dB    U 40.9104 dB    V 41.8610 dB] [ET    57 ] [L0] [L1]
POC   61 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117720 bits [Y 35.6887 dB    U 41.0279 dB    V 42.1189 dB] [ET    61 ] [L0] [L1]
POC   62 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117848 bits [Y 35.6932 dB    U 41.0435 dB    V 42.1406 dB] [ET    58 ] [L0] [L1]
POC   63 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117896 bits [Y 35.6888 dB    U 41.0353 dB    V 42.0852 dB] [ET    57 ] [L0] [L1]
POC   64 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     116968 bits [Y 35.6575 dB    U 40.8693 dB    V 41.8693 dB] [ET    61 ] [L0] [L1]
POC   65 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117032 bits [Y 35.6612 dB    U 41.0308 dB    V 42.0111 dB] [ET    61 ] [L0] [L1]
POC   66 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117608 bits [Y 35.6620 dB    U 41.0868 dB    V 42.2272 dB] [ET    59 ] [L0] [L1]
POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     118624 bits [Y 35.7110 dB    U 41.0291 dB    V 42.1184 dB] [ET    59 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     116856 bits [Y 35.6486 dB    U 40.8555 dB    V 42.0268 dB] [ET    58 ] [L0] [L1]
POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117312 bits [Y 35.6622 dB    U 40.9484 dB    V 42.0015 dB] [ET    58 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     118256 bits [Y 35.6965 dB    U 40.9630 dB    V 42.0676 dB] [ET    57 ] [L0] [L1]
POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117664 bits [Y 35.6912 dB    U 40.9017 dB    V 42.0971 dB] [ET    58 ] [L0] [L1]
POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     118112 bits [Y 35.6812 dB    U 40.9908 dB    V 41.9275 dB] [ET    60 ] [L0] [L1]
POC   73 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117912 bits [Y 35.6980 dB    U 40.8487 dB    V 42.0330 dB] [ET    60 ] [L0] [L1]
POC   74 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     118368 bits [Y 35.7032 dB    U 40.9530 dB    V 42.0363 dB] [ET    57 ] [L0] [L1]
POC   75 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117888 bits [Y 35.6832 dB    U 40.8724 dB    V 42.1344 dB] [ET    57 ] [L0] [L1]
POC   76 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     118120 bits [Y 35.6907 dB    U 40.9197 dB    V 41.8848 dB] [ET    56 ] [L0] [L1]
POC   77 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     117440 bits [Y 35.6693 dB    U 40.9397 dB    V 42.1250 dB] [ET    57 ] [L0] [L1]
POC   78 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     118552 bits [Y 35.7015 dB    U 40.9184 dB    V 42.1974 dB] [ET    57 ] [L0] [L1]
POC   79 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     118032 bits [Y 35.6950 dB    U 41.0800 dB    V 42.0303 dB] [ET    56 ] [L0] [L1]
POC   80 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )     118184 bits [Y 35.6862 dB    U 41.0817 dB    V 42.0169 dB] [ET    59 ] [L0] [L1]

LayerId  0
	Total Frames |  Bitrate      Y-PSNR   U-PSNR   V-PSNR   YUV-PSNR 
	81           a  7074.0444    35.6841  40.9444  42.0553  36.9060  

 finished @ Fri Sep  8 15:41:17 2023
 Total Time:     4671.764 sec. [user]     4671.765 sec. [elapsed]
