
VVCSoftware: VTM Encoder Version 17.0 [Windows][VS 1929][64 bit] [SIMD=AVX2] 

TOOL CFG: IBD:0 HAD:1 RDQ:1 RDQTS:1 RDpenalty:0 LQP:0 SQP:0 ASR:0 MinSearchWindow:8 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPSConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:1 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:0 SbTMVP:1 DualITree:1 IMV:1 BIO:0 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:0 CompositeLTReference:0 Bcw:0 BcwFast:0 LADF:0 CIIP:0 Geo:0 AllowDisFracMMVD:1 AffineAmvr:0 AffineAmvrEncOpt:0 AffineAmvp:1 DMVR:0 MmvdDisNum:8 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:2) MRL:1 MIP:1 EncDbOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 4(intra) 4(inter) ISPFast:1 FastLFNST:1 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 FastMIP:1 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:0 RPR:0 TemporalFilter:4/4 SEI CTI:0 BIM:0 


 started @ Mon Sep  4 15:22:43 2023
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 22 )     363240 bits [Y 42.2345 dB    U 46.3265 dB    V 46.9706 dB] [ET    91 ] [L0] [L1]
POC   13 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     361760 bits [Y 42.2142 dB    U 46.4150 dB    V 47.0951 dB] [ET    89 ] [L0] [L1]
POC   14 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     360736 bits [Y 42.2074 dB    U 46.5142 dB    V 47.1158 dB] [ET    90 ] [L0] [L1]
POC   15 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     361704 bits [Y 42.2111 dB    U 46.4505 dB    V 47.1114 dB] [ET    92 ] [L0] [L1]
POC   16 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     361800 bits [Y 42.2154 dB    U 46.4426 dB    V 47.0696 dB] [ET    92 ] [L0] [L1]
POC   17 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     360560 bits [Y 42.2207 dB    U 46.3604 dB    V 47.0497 dB] [ET    92 ] [L0] [L1]
POC   18 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     361728 bits [Y 42.1994 dB    U 46.3921 dB    V 47.0645 dB] [ET    87 ] [L0] [L1]
POC   19 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     361616 bits [Y 42.1964 dB    U 46.3776 dB    V 47.0231 dB] [ET    95 ] [L0] [L1]
POC   20 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     359688 bits [Y 42.1966 dB    U 46.4142 dB    V 47.0375 dB] [ET    91 ] [L0] [L1]
POC   21 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     362872 bits [Y 42.2384 dB    U 46.4256 dB    V 47.0293 dB] [ET    90 ] [L0] [L1]
POC   22 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     359896 bits [Y 42.1886 dB    U 46.5286 dB    V 47.0940 dB] [ET    91 ] [L0] [L1]
POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     361832 bits [Y 42.2252 dB    U 46.4507 dB    V 47.1665 dB] [ET    90 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     360808 bits [Y 42.1906 dB    U 46.4985 dB    V 47.0558 dB] [ET    94 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     361648 bits [Y 42.2178 dB    U 46.4672 dB    V 47.0206 dB] [ET    92 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     360704 bits [Y 42.2134 dB    U 46.4824 dB    V 47.0968 dB] [ET    93 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     361792 bits [Y 42.2009 dB    U 46.3636 dB    V 47.1649 dB] [ET    92 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     361704 bits [Y 42.2102 dB    U 46.3960 dB    V 47.0480 dB] [ET    90 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     361928 bits [Y 42.2320 dB    U 46.4725 dB    V 47.1722 dB] [ET    87 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     359416 bits [Y 42.1832 dB    U 46.4210 dB    V 47.1096 dB] [ET    92 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     360032 bits [Y 42.2083 dB    U 46.5110 dB    V 47.2495 dB] [ET    93 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     360768 bits [Y 42.2208 dB    U 46.4590 dB    V 47.1043 dB] [ET    92 ] [L0] [L1]
POC   33 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     361816 bits [Y 42.2508 dB    U 46.4529 dB    V 47.0725 dB] [ET    92 ] [L0] [L1]
POC   34 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     360600 bits [Y 42.2125 dB    U 46.4986 dB    V 47.0417 dB] [ET    91 ] [L0] [L1]
POC   35 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     360416 bits [Y 42.2142 dB    U 46.3701 dB    V 46.9754 dB] [ET    92 ] [L0] [L1]
POC   36 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     360240 bits [Y 42.1911 dB    U 46.3604 dB    V 47.1215 dB] [ET    90 ] [L0] [L1]
POC   37 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     361440 bits [Y 42.2248 dB    U 46.4614 dB    V 47.3072 dB] [ET    94 ] [L0] [L1]
POC   38 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     359976 bits [Y 42.1982 dB    U 46.4559 dB    V 47.1409 dB] [ET    91 ] [L0] [L1]
POC   39 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     360232 bits [Y 42.1983 dB    U 46.4772 dB    V 47.2032 dB] [ET    93 ] [L0] [L1]
POC   40 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     361424 bits [Y 42.2373 dB    U 46.4851 dB    V 47.1848 dB] [ET    93 ] [L0] [L1]
POC   41 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     360160 bits [Y 42.2282 dB    U 46.4574 dB    V 47.1513 dB] [ET    90 ] [L0] [L1]
POC   42 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     360344 bits [Y 42.2161 dB    U 46.5580 dB    V 47.1538 dB] [ET    95 ] [L0] [L1]
POC   43 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     360560 bits [Y 42.2202 dB    U 46.5007 dB    V 47.0408 dB] [ET    90 ] [L0] [L1]
POC   44 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     359792 bits [Y 42.2051 dB    U 46.4420 dB    V 47.0661 dB] [ET    92 ] [L0] [L1]
POC   45 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     361344 bits [Y 42.2216 dB    U 46.4844 dB    V 47.2155 dB] [ET    91 ] [L0] [L1]
POC   46 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     359864 bits [Y 42.1930 dB    U 46.4644 dB    V 47.0795 dB] [ET    93 ] [L0] [L1]
POC   47 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     359904 bits [Y 42.2214 dB    U 46.4303 dB    V 47.2008 dB] [ET    92 ] [L0] [L1]
POC   48 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     359904 bits [Y 42.1960 dB    U 46.4546 dB    V 47.1150 dB] [ET    90 ] [L0] [L1]
POC   49 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     359976 bits [Y 42.1993 dB    U 46.5175 dB    V 47.1346 dB] [ET    93 ] [L0] [L1]
POC   50 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     358832 bits [Y 42.2067 dB    U 46.4875 dB    V 47.1933 dB] [ET    87 ] [L0] [L1]
POC   51 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     360072 bits [Y 42.2077 dB    U 46.5621 dB    V 47.1979 dB] [ET    93 ] [L0] [L1]
POC   52 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     358968 bits [Y 42.1924 dB    U 46.4635 dB    V 47.0862 dB] [ET    93 ] [L0] [L1]
POC   53 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     360168 bits [Y 42.2112 dB    U 46.4884 dB    V 47.2068 dB] [ET    89 ] [L0] [L1]
POC   54 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     359872 bits [Y 42.1971 dB    U 46.4855 dB    V 47.1073 dB] [ET    88 ] [L0] [L1]
POC   55 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     361080 bits [Y 42.2040 dB    U 46.4529 dB    V 47.2959 dB] [ET    93 ] [L0] [L1]
POC   56 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     359232 bits [Y 42.1986 dB    U 46.4988 dB    V 47.2276 dB] [ET    92 ] [L0] [L1]
POC   57 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     360560 bits [Y 42.2150 dB    U 46.5238 dB    V 47.1996 dB] [ET    89 ] [L0] [L1]
POC   58 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     359232 bits [Y 42.1889 dB    U 46.5828 dB    V 47.2522 dB] [ET    92 ] [L0] [L1]
POC   59 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     357848 bits [Y 42.1903 dB    U 46.5467 dB    V 47.1851 dB] [ET    92 ] [L0] [L1]
POC   60 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     359648 bits [Y 42.1941 dB    U 46.6181 dB    V 47.1657 dB] [ET    91 ] [L0] [L1]
POC   61 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     359840 bits [Y 42.1982 dB    U 46.4990 dB    V 47.1139 dB] [ET    91 ] [L0] [L1]
POC   62 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     358776 bits [Y 42.2089 dB    U 46.5336 dB    V 47.1065 dB] [ET    93 ] [L0] [L1]
POC   63 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     359888 bits [Y 42.1972 dB    U 46.5050 dB    V 47.2647 dB] [ET    90 ] [L0] [L1]
POC   64 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     360112 bits [Y 42.1887 dB    U 46.5044 dB    V 47.2121 dB] [ET    89 ] [L0] [L1]
POC   65 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     359696 bits [Y 42.1801 dB    U 46.5681 dB    V 47.3120 dB] [ET    91 ] [L0] [L1]
POC   66 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     360408 bits [Y 42.2066 dB    U 46.5054 dB    V 47.2731 dB] [ET    91 ] [L0] [L1]
POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     360864 bits [Y 42.2327 dB    U 46.6044 dB    V 47.1456 dB] [ET    90 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     358648 bits [Y 42.1924 dB    U 46.5370 dB    V 47.2619 dB] [ET    89 ] [L0] [L1]
POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     359984 bits [Y 42.2149 dB    U 46.5770 dB    V 47.1928 dB] [ET    92 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     360232 bits [Y 42.2133 dB    U 46.5528 dB    V 47.2343 dB] [ET    88 ] [L0] [L1]
POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     359864 bits [Y 42.2091 dB    U 46.5463 dB    V 47.2146 dB] [ET    92 ] [L0] [L1]
POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     359264 bits [Y 42.2018 dB    U 46.4956 dB    V 47.2784 dB] [ET    89 ] [L0] [L1]
POC   73 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     359288 bits [Y 42.2101 dB    U 46.5966 dB    V 47.2389 dB] [ET    92 ] [L0] [L1]
POC   74 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     358192 bits [Y 42.2078 dB    U 46.5212 dB    V 47.2430 dB] [ET    93 ] [L0] [L1]
POC   75 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     359272 bits [Y 42.2239 dB    U 46.5738 dB    V 47.2661 dB] [ET    90 ] [L0] [L1]
POC   76 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     357552 bits [Y 42.1949 dB    U 46.6336 dB    V 47.2704 dB] [ET    88 ] [L0] [L1]
POC   77 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     357920 bits [Y 42.1988 dB    U 46.5935 dB    V 47.3165 dB] [ET    94 ] [L0] [L1]
POC   78 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     359360 bits [Y 42.2133 dB    U 46.6290 dB    V 47.2211 dB] [ET    91 ] [L0] [L1]
POC   79 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     358888 bits [Y 42.2134 dB    U 46.5791 dB    V 47.2682 dB] [ET    90 ] [L0] [L1]
POC   80 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     360072 bits [Y 42.2345 dB    U 46.6123 dB    V 47.2420 dB] [ET    90 ] [L0] [L1]

LayerId  0
	Total Frames |  Bitrate      Y-PSNR   U-PSNR   V-PSNR   YUV-PSNR 
	81           a  21633.4637   42.2106  46.4786  47.1446  43.2753  

 finished @ Mon Sep  4 17:26:26 2023
 Total Time:     7423.170 sec. [user]     7423.171 sec. [elapsed]
