
VVCSoftware: VTM Encoder Version 17.0 [Windows][VS 1929][64 bit] [SIMD=AVX2] 

TOOL CFG: IBD:0 HAD:1 RDQ:1 RDQTS:1 RDpenalty:0 LQP:0 SQP:0 ASR:0 MinSearchWindow:8 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPSConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:1 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:0 SbTMVP:1 DualITree:1 IMV:1 BIO:0 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:0 CompositeLTReference:0 Bcw:0 BcwFast:0 LADF:0 CIIP:0 Geo:0 AllowDisFracMMVD:1 AffineAmvr:0 AffineAmvrEncOpt:0 AffineAmvp:1 DMVR:0 MmvdDisNum:8 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:2) MRL:1 MIP:1 EncDbOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 4(intra) 4(inter) ISPFast:1 FastLFNST:1 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 FastMIP:1 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:0 RPR:0 TemporalFilter:4/4 SEI CTI:0 BIM:0 


 started @ Mon Sep 11 19:11:55 2023
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 27 )     189472 bits [Y 38.3849 dB    U 43.4946 dB    V 43.8920 dB] [ET    76 ] [L0] [L1]
POC   63 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     187688 bits [Y 38.3493 dB    U 43.6701 dB    V 44.1198 dB] [ET    69 ] [L0] [L1]
POC   64 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     188712 bits [Y 38.3847 dB    U 43.6759 dB    V 44.2190 dB] [ET    70 ] [L0] [L1]
POC   65 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     188512 bits [Y 38.3851 dB    U 43.7333 dB    V 44.1160 dB] [ET    68 ] [L0] [L1]
POC   66 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     187912 bits [Y 38.3643 dB    U 43.7037 dB    V 44.1624 dB] [ET    69 ] [L0] [L1]
POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     187736 bits [Y 38.3643 dB    U 43.8050 dB    V 44.1329 dB] [ET    67 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     187704 bits [Y 38.3535 dB    U 43.7406 dB    V 44.2939 dB] [ET    68 ] [L0] [L1]
POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     187912 bits [Y 38.3759 dB    U 43.6493 dB    V 44.0571 dB] [ET    69 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     187504 bits [Y 38.3714 dB    U 43.6012 dB    V 44.0585 dB] [ET    70 ] [L0] [L1]
POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     188568 bits [Y 38.4136 dB    U 43.6381 dB    V 44.0759 dB] [ET    67 ] [L0] [L1]
POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     187856 bits [Y 38.3799 dB    U 43.7552 dB    V 44.1868 dB] [ET    70 ] [L0] [L1]
POC   73 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     187064 bits [Y 38.3650 dB    U 43.7137 dB    V 44.1886 dB] [ET    68 ] [L0] [L1]
POC   74 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     186936 bits [Y 38.3550 dB    U 43.7641 dB    V 44.3137 dB] [ET    71 ] [L0] [L1]
POC   75 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     187224 bits [Y 38.3715 dB    U 43.8569 dB    V 44.1480 dB] [ET    68 ] [L0] [L1]
POC   76 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     186952 bits [Y 38.3876 dB    U 43.7282 dB    V 44.0461 dB] [ET    70 ] [L0] [L1]
POC   77 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     187480 bits [Y 38.3825 dB    U 43.7458 dB    V 44.2244 dB] [ET    71 ] [L0] [L1]
POC   78 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     187888 bits [Y 38.3872 dB    U 43.7737 dB    V 44.1007 dB] [ET    69 ] [L0] [L1]
POC   79 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     187224 bits [Y 38.3786 dB    U 43.6957 dB    V 44.0633 dB] [ET    75 ] [L0] [L1]
POC   80 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     187424 bits [Y 38.3949 dB    U 43.7133 dB    V 44.0876 dB] [ET    71 ] [L0] [L1]

LayerId  0
	Total Frames |  Bitrate      Y-PSNR   U-PSNR   V-PSNR   YUV-PSNR 
	81           a  11317.2207   38.3809  43.6176  44.0395  39.5619  

 finished @ Mon Sep 11 20:47:00 2023
 Total Time:     5705.591 sec. [user]     5705.592 sec. [elapsed]
