
VVCSoftware: VTM Encoder Version 17.0 [Windows][VS 1929][64 bit] [SIMD=AVX2] 

TOOL CFG: IBD:0 HAD:1 RDQ:1 RDQTS:1 RDpenalty:0 LQP:0 SQP:0 ASR:0 MinSearchWindow:8 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPSConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:1 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:0 SbTMVP:1 DualITree:1 IMV:1 BIO:0 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:0 CompositeLTReference:0 Bcw:0 BcwFast:0 LADF:0 CIIP:0 Geo:0 AllowDisFracMMVD:1 AffineAmvr:0 AffineAmvrEncOpt:0 AffineAmvp:1 DMVR:0 MmvdDisNum:8 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:2) MRL:1 MIP:1 EncDbOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 4(intra) 4(inter) ISPFast:1 FastLFNST:1 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 FastMIP:1 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:0 RPR:0 TemporalFilter:4/4 SEI CTI:0 BIM:0 


 started @ Wed Sep  6 17:08:59 2023
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 32 )      61800 bits [Y 36.9038 dB    U 38.3511 dB    V 39.6099 dB] [ET    37 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61568 bits [Y 36.8977 dB    U 38.4345 dB    V 39.5976 dB] [ET    38 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61368 bits [Y 36.8670 dB    U 38.3736 dB    V 39.4425 dB] [ET    37 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62056 bits [Y 36.9048 dB    U 38.3659 dB    V 39.5522 dB] [ET    37 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62208 bits [Y 36.9211 dB    U 38.4648 dB    V 39.5936 dB] [ET    37 ] [L0] [L1]
POC   33 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61776 bits [Y 36.9053 dB    U 38.3664 dB    V 39.6318 dB] [ET    36 ] [L0] [L1]
POC   34 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61400 bits [Y 36.9117 dB    U 38.4204 dB    V 39.5633 dB] [ET    37 ] [L0] [L1]
POC   35 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62200 bits [Y 36.9383 dB    U 38.3165 dB    V 39.6241 dB] [ET    37 ] [L0] [L1]
POC   36 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61376 bits [Y 36.8799 dB    U 38.3749 dB    V 39.4542 dB] [ET    37 ] [L0] [L1]
POC   37 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61992 bits [Y 36.9260 dB    U 38.2777 dB    V 39.4888 dB] [ET    37 ] [L0] [L1]
POC   38 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62200 bits [Y 36.9144 dB    U 38.3854 dB    V 39.4968 dB] [ET    37 ] [L0] [L1]
POC   39 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62224 bits [Y 36.9057 dB    U 38.4905 dB    V 39.5061 dB] [ET    38 ] [L0] [L1]
POC   40 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61728 bits [Y 36.8988 dB    U 38.3725 dB    V 39.6011 dB] [ET    37 ] [L0] [L1]
POC   41 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61640 bits [Y 36.8677 dB    U 38.3739 dB    V 39.5422 dB] [ET    38 ] [L0] [L1]
POC   42 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61544 bits [Y 36.8909 dB    U 38.4119 dB    V 39.6960 dB] [ET    37 ] [L0] [L1]
POC   43 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62096 bits [Y 36.9400 dB    U 38.4512 dB    V 39.3968 dB] [ET    36 ] [L0] [L1]
POC   44 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61656 bits [Y 36.8911 dB    U 38.4523 dB    V 39.5404 dB] [ET    37 ] [L0] [L1]
POC   45 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62224 bits [Y 36.9359 dB    U 38.4186 dB    V 39.5243 dB] [ET    38 ] [L0] [L1]
POC   46 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61416 bits [Y 36.8972 dB    U 38.4001 dB    V 39.4848 dB] [ET    38 ] [L0] [L1]
POC   47 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61368 bits [Y 36.9038 dB    U 38.3610 dB    V 39.4686 dB] [ET    37 ] [L0] [L1]
POC   48 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61568 bits [Y 36.9069 dB    U 38.4004 dB    V 39.3849 dB] [ET    36 ] [L0] [L1]
POC   49 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61968 bits [Y 36.9373 dB    U 38.3876 dB    V 39.5667 dB] [ET    37 ] [L0] [L1]
POC   50 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62320 bits [Y 36.9440 dB    U 38.3690 dB    V 39.6129 dB] [ET    37 ] [L0] [L1]
POC   51 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62752 bits [Y 36.9704 dB    U 38.4626 dB    V 39.5773 dB] [ET    37 ] [L0] [L1]
POC   52 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62528 bits [Y 36.9832 dB    U 38.3856 dB    V 39.5329 dB] [ET    37 ] [L0] [L1]
POC   53 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61736 bits [Y 36.9245 dB    U 38.3744 dB    V 39.5979 dB] [ET    38 ] [L0] [L1]
POC   54 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61904 bits [Y 36.9214 dB    U 38.3532 dB    V 39.4709 dB] [ET    37 ] [L0] [L1]
POC   55 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61480 bits [Y 36.9055 dB    U 38.3648 dB    V 39.5066 dB] [ET    37 ] [L0] [L1]
POC   56 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62080 bits [Y 36.9201 dB    U 38.3877 dB    V 39.5559 dB] [ET    37 ] [L0] [L1]
POC   57 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62152 bits [Y 36.9325 dB    U 38.3640 dB    V 39.5013 dB] [ET    37 ] [L0] [L1]
POC   58 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62048 bits [Y 36.9048 dB    U 38.3699 dB    V 39.6829 dB] [ET    37 ] [L0] [L1]
POC   59 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62416 bits [Y 36.9324 dB    U 38.4562 dB    V 39.6218 dB] [ET    37 ] [L0] [L1]
POC   60 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62256 bits [Y 36.9393 dB    U 38.4638 dB    V 39.5834 dB] [ET    38 ] [L0] [L1]
POC   61 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61136 bits [Y 36.9056 dB    U 38.2758 dB    V 39.5660 dB] [ET    38 ] [L0] [L1]
POC   62 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62296 bits [Y 36.9733 dB    U 38.4515 dB    V 39.5243 dB] [ET    36 ] [L0] [L1]
POC   63 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62040 bits [Y 36.9316 dB    U 38.4335 dB    V 39.5198 dB] [ET    37 ] [L0] [L1]
POC   64 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61592 bits [Y 36.9095 dB    U 38.3648 dB    V 39.5610 dB] [ET    36 ] [L0] [L1]
POC   65 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62688 bits [Y 36.9411 dB    U 38.4490 dB    V 39.5382 dB] [ET    37 ] [L0] [L1]
POC   66 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61872 bits [Y 36.9177 dB    U 38.4171 dB    V 39.4787 dB] [ET    37 ] [L0] [L1]
POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61888 bits [Y 36.9296 dB    U 38.4103 dB    V 39.5390 dB] [ET    37 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61792 bits [Y 36.9211 dB    U 38.3356 dB    V 39.5890 dB] [ET    36 ] [L0] [L1]
POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61472 bits [Y 36.8772 dB    U 38.4027 dB    V 39.5795 dB] [ET    37 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61664 bits [Y 36.9281 dB    U 38.3388 dB    V 39.5269 dB] [ET    36 ] [L0] [L1]
POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61440 bits [Y 36.9347 dB    U 38.4074 dB    V 39.4346 dB] [ET    37 ] [L0] [L1]
POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61592 bits [Y 36.8902 dB    U 38.3164 dB    V 39.4874 dB] [ET    38 ] [L0] [L1]
POC   73 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62232 bits [Y 36.9146 dB    U 38.4164 dB    V 39.5104 dB] [ET    38 ] [L0] [L1]
POC   74 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62200 bits [Y 36.9259 dB    U 38.4807 dB    V 39.5053 dB] [ET    38 ] [L0] [L1]
POC   75 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61808 bits [Y 36.9269 dB    U 38.2928 dB    V 39.5303 dB] [ET    37 ] [L0] [L1]
POC   76 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61504 bits [Y 36.9104 dB    U 38.3463 dB    V 39.5866 dB] [ET    37 ] [L0] [L1]
POC   77 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61824 bits [Y 36.9148 dB    U 38.4206 dB    V 39.5335 dB] [ET    37 ] [L0] [L1]
POC   78 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61712 bits [Y 36.9171 dB    U 38.3783 dB    V 39.5044 dB] [ET    37 ] [L0] [L1]
POC   79 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61632 bits [Y 36.9136 dB    U 38.3696 dB    V 39.5007 dB] [ET    36 ] [L0] [L1]
POC   80 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61720 bits [Y 36.8971 dB    U 38.5383 dB    V 39.6365 dB] [ET    37 ] [L0] [L1]

LayerId  0
	Total Frames |  Bitrate      Y-PSNR   U-PSNR   V-PSNR   YUV-PSNR 
	81           a  3714.3941    36.9175  38.3973  39.5387  37.4906  

 finished @ Wed Sep  6 17:59:42 2023
 Total Time:     3042.595 sec. [user]     3042.595 sec. [elapsed]
